Portugal;7372569;4877703;2494866;654798;497020;157778;3304541;1898523;1406018;2755335;1994928;760407;25741;10541;15200;632154;476691;155463
Continente;7331304;4841519;2489786;624656;467013;157643;3299004;1897343;1401661;2754099;1993901;760198;25738;10541;15197;627808;472721;155087
Verdes;924480;124831;799649;0;0;0;879226;116437;762788;29141;4927;24214;1107;229;878;15007;3238;11769
Trás-os-Montes;100793;89113;11679;18;18;0;17396;13488;3908;5474;3653;1821;30;18;12;77875;71936;5939
Douro;1402222;1046641;355582;606403;465114;141290;723875;526481;197394;4881;2376;2504;189;147;42;66874;52522;14352
Bairrada;251004;162672;88332;39;39;0;157766;84458;73308;32543;28640;3903;5343;4156;1187;55313;45379;9934
Dão;281195;224261;56934;0;0;0;253379;201076;52303;5125;4442;683;454;222;232;22236;18520;3716
Beira Interior;185796;142562;43234;26;26;0;91294;68298;22996;36156;29570;6586;0;0;0;58320;44668;13652
Távora-Varosa;52440;22347;30093;0;0;0;31134;11493;19641;1334;318;1016;0;0;0;19972;10536;9436
Tejo;759079;375641;383438;697;63;633;132132;90627;41505;509059;225791;283268;2349;10;2339;114843;59150;55693
Lisboa;1538940;1254763;284177;575;112;463;67346;48227;19119;1320485;1086356;234129;13779;4454;9325;136755;115614;21141
Península Setúbal;585679;426483;159196;16700;1558;15142;249842;194562;55280;272402;191908;80494;777;10;767;45958;38445;7513
Alentejo;1233063;961210;271853;199;83;115;694408;541296;153112;522778;406090;116689;1286;1274;11;14392;12467;1926
Algarve;16613;10994;5619;0;0;0;1205;898;307;14721;9829;4891;424;20;404;264;247;17
Açores;7975;4240;3735;135;0;135;3147;0;3147;1236;1027;209;4;0;4;3453;3212;241
Madeira;33290;31945;1345;30007;30007;0;2390;1180;1210;0;0;0;0;0;0;893;758;135